ok  	github.com/openshift/origin/examples	0.258s
ok  	github.com/openshift/origin/pkg/api	2.811s
ok  	github.com/openshift/origin/pkg/api/graph	0.009s
ok  	github.com/openshift/origin/pkg/api/graph/graphview	0.063s
ok  	github.com/openshift/origin/pkg/api/kubegraph	0.037s
ok  	github.com/openshift/origin/pkg/api/kubegraph/analysis	0.132s
ok  	github.com/openshift/origin/pkg/api/kubegraph/nodes	0.082s
ok  	github.com/openshift/origin/pkg/api/latest	0.014s
ok  	github.com/openshift/origin/pkg/api/validation	0.142s
ok  	github.com/openshift/origin/pkg/assets	0.041s
ok  	github.com/openshift/origin/pkg/auth/authenticator/anonymous	0.042s
ok  	github.com/openshift/origin/pkg/auth/authenticator/challenger/passwordchallenger	0.034s
ok  	github.com/openshift/origin/pkg/auth/authenticator/password/basicauthpassword	0.027s
ok  	github.com/openshift/origin/pkg/auth/authenticator/password/htpasswd	0.778s
ok  	github.com/openshift/origin/pkg/auth/authenticator/password/keystonepassword	0.012s
ok  	github.com/openshift/origin/pkg/auth/authenticator/request/basicauthrequest	0.032s
ok  	github.com/openshift/origin/pkg/auth/authenticator/request/bearertoken	0.009s
ok  	github.com/openshift/origin/pkg/auth/authenticator/request/headerrequest	0.041s
ok  	github.com/openshift/origin/pkg/auth/authenticator/request/unionrequest	0.007s
ok  	github.com/openshift/origin/pkg/auth/authenticator/request/x509request	0.054s
ok  	github.com/openshift/origin/pkg/auth/authenticator/token/cache	0.022s
ok  	github.com/openshift/origin/pkg/auth/group	0.060s
ok  	github.com/openshift/origin/pkg/auth/ldaputil	0.083s
ok  	github.com/openshift/origin/pkg/auth/oauth/external	0.028s
ok  	github.com/openshift/origin/pkg/auth/oauth/external/github	0.117s
ok  	github.com/openshift/origin/pkg/auth/oauth/external/gitlab	0.027s
ok  	github.com/openshift/origin/pkg/auth/oauth/external/google	0.049s
ok  	github.com/openshift/origin/pkg/auth/oauth/external/openid	0.027s
ok  	github.com/openshift/origin/pkg/auth/oauth/handlers	0.008s
ok  	github.com/openshift/origin/pkg/auth/oauth/registry	0.029s
ok  	github.com/openshift/origin/pkg/authorization/api	0.020s
ok  	github.com/openshift/origin/pkg/authorization/api/v1	0.011s
ok  	github.com/openshift/origin/pkg/authorization/api/validation	0.034s
ok  	github.com/openshift/origin/pkg/authorization/authorizer	0.250s
ok  	github.com/openshift/origin/pkg/authorization/authorizer/adapter	0.044s
ok  	github.com/openshift/origin/pkg/authorization/authorizer/cache	0.027s
ok  	github.com/openshift/origin/pkg/authorization/authorizer/remote	0.079s
ok  	github.com/openshift/origin/pkg/authorization/cache	0.292s
ok  	github.com/openshift/origin/pkg/authorization/reaper	0.132s
ok  	github.com/openshift/origin/pkg/authorization/registry/clusterrole	0.009s
ok  	github.com/openshift/origin/pkg/authorization/registry/clusterrolebinding	0.063s
ok  	github.com/openshift/origin/pkg/authorization/registry/localresourceaccessreview	0.103s
ok  	github.com/openshift/origin/pkg/authorization/registry/localsubjectaccessreview	0.015s
ok  	github.com/openshift/origin/pkg/authorization/registry/resourceaccessreview	0.060s
ok  	github.com/openshift/origin/pkg/authorization/registry/rolebinding/policybased	0.044s
ok  	github.com/openshift/origin/pkg/authorization/registry/role/policybased	0.075s
